time,rain_sum (mm),wind_speed_10m_max (km/h),temperature_2m_max (°C),temperature_2m_min (°C)
05-02-2025,0.4,11.1,22,12.3
06-02-2025,0,16.9,21.8,11.1
07-02-2025,0,17.3,21.4,10.9
08-02-2025,0,12.9,23.9,11.3
09-02-2025,0,7.4,25.8,10.9
10-02-2025,0,6.6,27.9,11.9
11-02-2025,0,9.4,28.1,12.6
12-02-2025,0,16,25.2,14.1
13-02-2025,0,16.8,24.3,14.1
14-02-2025,0,13.9,25.2,12.8
15-02-2025,0,10.3,25.3,13.8
16-02-2025,0.1,9.4,27.4,12.5
17-02-2025,0,7.7,28.5,15.5
18-02-2025,0.1,9.9,26.8,16.1
19-02-2025,0.6,9.1,28,14.6
20-02-2025,5.3,15.5,23.8,14.9
21-02-2025,0.4,10,24.8,14
22-02-2025,0,11.1,23.7,13.6
23-02-2025,0,8.8,25,13.4
24-02-2025,0,10,26.9,13.6
25-02-2025,0,8.3,27.9,14.7
26-02-2025,0,6.9,30.1,18.2
27-02-2025,4.1,17,22.7,18.6
28-02-2025,3.3,12,22.7,17.5
01-03-2025,4,13,23.9,15.1
02-03-2025,0,12.2,24.5,15.1
03-03-2025,0,7.6,27,11.8
04-03-2025,0,16.1,24.8,14.9
05-03-2025,0,22.2,22.8,12.6
06-03-2025,0,13.7,26.9,12.9
07-03-2025,0,9.6,29,13.1
08-03-2025,0,12.6,30.2,15.7
09-03-2025,0,10.1,32.2,16.3
10-03-2025,0,12.2,32,18.9
11-03-2025,0,10.2,34.5,18.9
12-03-2025,0,12.9,33.3,20
13-03-2025,1.4,15.1,32.2,21.2
14-03-2025,0.1,11.7,34.3,19.2
15-03-2025,0.2,14,31.2,18.9
16-03-2025,0.9,11.4,29.9,17.6
17-03-2025,0,13.5,28.5,17.5
18-03-2025,0,11.5,29.8,17.6
19-03-2025,0,11.1,32.1,18.4
20-03-2025,0,13.5,32.9,18.1
21-03-2025,0,15.1,32,19.8
22-03-2025,0,15.1,31.5,19.1
23-03-2025,0,9.8,33.2,18.9
24-03-2025,0,7.2,34.4,19.4
25-03-2025,0,9.4,36.7,20.6
26-03-2025,0,8.9,38.4,22.2
27-03-2025,0,12.4,36.8,23
28-03-2025,0,15.5,31.9,22
29-03-2025,0,14.9,29.6,16.6
30-03-2025,0,12.3,32.3,17.9
31-03-2025,0,12.5,34.5,18.4
01-04-2025,0,13.4,34,19.6
02-04-2025,0,11.3,36,19.4
03-04-2025,0,11.9,38,20
04-04-2025,0,14.7,37.3,22.5
05-04-2025,0,13.6,35.8,22.8
06-04-2025,0,9.7,38.3,23
07-04-2025,0,9.4,39.5,23.8
08-04-2025,0,9.2,39.8,25
09-04-2025,0,17.4,40.3,25.4
10-04-2025,0,19.9,39.2,25.5
11-04-2025,10.5,22,34.3,22.5
12-04-2025,0.2,8.5,33.8,20.3
13-04-2025,0,11,35.8,21.2
14-04-2025,0,11.1,35.8,22.6
15-04-2025,0,9,36.7,24.2
16-04-2025,0,11.4,38.3,25.4
17-04-2025,0,17.7,40.5,25.5
18-04-2025,0,15.3,40.5,25
19-04-2025,0,19.3,39.7,27
20-04-2025,0,17.2,38.2,26.8
